Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Agreement Date,Agreement Date-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Notice Period To Terminate Renewal,Notice Period To Terminate Renewal- Answer,Governing Law,Governing Law-Answer
ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.pdf,['AMENDMENT NO. 3 TO THE NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT'],AMENDMENT NO. 3 TO THE NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT,"['ScanSource, Inc.', 'Cisco', 'Distributor', 'Cisco Systems, Inc.']","Cisco Systems, Inc. (""Cisco""); ScanSource, Inc. (""Distributor"")",['8/4/10'],8/4/10,[],,"['The Term of the Agreement is hereby extended to January 20, 2012 unless sooner terminated as provided for in the Agreement.']",1/20/12,[],,[],,[],
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,['DISTRIBUTOR AGREEMENT'],DISTRIBUTOR AGREEMENT,"['Distributor', 'Principal', 'Co-Diagnostics, Inc.', 'PreCheck Health Services, Inc.']","Co-Diagnostics, Inc. (""Principal""); PreCheck Health Services, Inc. (""Distributor"")","['19t h day of March, 2020']",3/19/20,[],,"['This Agreement shall be in effect until March 18. 2021, unless sooner terminated by either party upon (30) days written notice, without cause.']",3/18/21,[],,[],,['This Agreement shall be construed in accordance with and governed by the laws of the State of Texas without regard to principles of conflicts of laws.'],Texas
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,['EXCLUSIVE DISTRIBUTOR AGREEMENT'],EXCLUSIVE DISTRIBUTOR AGREEMENT,"['Distributor', 'Company', 'A3 DEVELOPMENT GROUP, LLC', 'SMART RX SYSTEMS, INC.']","SMART RX SYSTEMS, INC. (""Company""); A3 DEVELOPMENT GROUP, LLC (""Distributor"")","['17t h day of May, 2017']",5/17/17,[],,"['This contract shall remain in effect initially for the five (5) year term (""Initial Term"") from the date signed and shall be automatically extended for one (1) year periods after the Initial Term (""Renewal Term"") unless (i) either party provides written notice of its intention not to renew the Agreement within 180 days prior to any Renewal Term; or (ii) this Agreement is otherwise terminated pursuant to the terms of this Section 12.']",5/17/22,"['This contract shall remain in effect initially for the five (5) year term (""Initial Term"") from the date signed and shall be automatically extended for one (1) year periods after the Initial Term (""Renewal Term"") unless (i) either party provides written notice of its intention not to renew the Agreement within 180 days prior to any Renewal Term; or (ii) this Agreement is otherwise terminated pursuant to the terms of this Section 12.']",successive 1 year,"['This contract shall remain in effect initially for the five (5) year term (""Initial Term"") from the date signed and shall be automatically extended for one (1) year periods after the Initial Term (""Renewal Term"") unless (i) either party provides written notice of its intention not to renew the Agreement within 180 days prior to any Renewal Term; or (ii) this Agreement is otherwise terminated pursuant to the terms of this Section 12.']",180 days,"['This Distributor Agreement shall be exclusively governed, construed, enforced and controlled by the laws of the United States of America and of the State of Texas.']",Texas
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement.pdf,['DISTRIBUTORSHIP AGREEMENT'],DISTRIBUTORSHIP AGREEMENT,"['STAAR', 'Distributor', 'STAAR SURGICAL AG']","STARAR SURGICAL AG (""STAAR""); Distributor (""Distributor"")",['____________'],,['____________'],,"['The term of this Agreement shall commence on the Effective Date and terminate in _____________, on _____________, unless terminated earlier pursuant to the terms of this Agreement; provided, however, that this Agreement may be renewed for successive one (1) year periods if STAAR and Distributor expressly agree in writing and in their sole discretion to renew this Agreement prior to the foregoing termination date or any successive renewal term.']",,"['The term of this Agreement shall commence on the Effective Date and terminate in _____________, on _____________, unless terminated earlier pursuant to the terms of this Agreement; provided, however, that this Agreement may be renewed for successive one (1) year periods if STAAR and Distributor expressly agree in writing and in their sole discretion to renew this Agreement prior to the foregoing termination date or any successive renewal term.']",successive 1 year,[],,"['This Agreement, which is in English, shall be governed by and construed in accordance with the laws of the State of California without regard to the conflicts of laws principles thereof.']",California
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.pdf,['DISTRIBUTORSHIP AGREEMENT'],DISTRIBUTORSHIP AGREEMENT,"['Zogenix', 'Distributor', 'Zogenix and Distributor may be referred to individually as a ""Party"" and collectively as the ""Parties"".', 'ZOGENIX, INC.', 'Nippon Shinyaku Company, Ltd.']","ZOGENIX, INC. (""Zogenix""); Nippon Shinyaku Company, Ltd. (""Distributor"")(""Party"" and collectively as the ""Parties"")","['March 18, 2019']",3/18/19,"['March 18, 2019']",3/18/19,"['This Agreement shall commence on the Effective Date and shall remain in effect until September 1, 2045, unless earlier terminated by either Party pursuant to this Article 12 (the ""Term"").']",9/1/45,[],,[],,"[""This Agreement and all questions regarding its existence, validity, interpretation, breach or performance and any dispute or claim arising out of or in connection with it (whether contractual or non-contractual in nature such as claims in tort, from breach of statute or regulation or otherwise) shall be governed by, and construed and enforced in accordance with, the laws of the State of New York, United States, without reference to its conflicts of law principles to the extent those principles would require applying another jurisdiction's laws.""]",New York
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.pdf,['INTELLECTUAL PROPERTY AGREEMENT'],INTELLECTUAL PROPERTY AGREEMENT,"['Armstrong Flooring, Inc.', 'Buyer', '""Licensing"" and together with Seller, ""Arizona"")', 'AHF Holding, Inc.', 'AFI Licensing LLC', 'Seller', 'formerly known as Tarzan HoldCo, Inc.)', 'Armstrong Hardwood Flooring Company', 'each of Arizona on the one hand and the Buyer Entities on the other hand, a ""Party"" and collectively, the ""Parties"").', '(the ""Company"" and together with Buyer the ""Buyer Entities""']","Armstrong Flooring, Inc. (""Seller""); AFI Licensing LLC, (""Licensing"" and together with Seller, ""Arizona""); AHF Holding, Inc. (formerly known as Tarzan HoldCo, Inc.)(""Buyer""); Armstrong Hardwood Flooring Company (""Company""and together with Buyer the ""Buyer Entities"")(each of Arizona and the Buyer Entities, a ""Party"" and collectively, the ""Parties"")","['December 31, 2018']",12/31/18,"['December 31, 2018']",12/31/18,"['Unless earlier terminated pursuant to the provisions hereof, the term of this Agreement and the licenses and other grants of rights (and related obligations) under this Agreement shall (i) with respect to the Arizona Licensed Trademarks, be for the Arizona Trademark License Term, (ii) with respect to the Diamond Licensed Trademarks, be for the Diamond Trademark License Term, (iii) with respect to the Phase- Out Marks, be for the term set forth in Section 6.6, and (iv) with respect to Copyrights, Know-How and Patents, be in perpetuity.']",Perpetual,[],,[],,"['This Agreement shall be governed by the laws of the State of Delaware, its rules of conflict of laws notwithstanding.']",Delaware
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.pdf,['WIRELESS CONTENT LICENSE AGREEMENT'],WIRELESS CONTENT LICENSE AGREEMENT,"['Fox and Licensee are collectively referred to as the ""parties"" and each individually as a ""party.""', 'Sorrent, Inc.', 'TWENTIETH CENTURY FOX LICENSING & MERCHANDISING', 'Licensee', 'Fox']","Twentieth Century Fox Licensing & Merchandising (""Fox""); Sorrent, Inc (""Licensee"")(""parties"" and each individually as a ""party)","['December 16, 2004,']",12/16/04,"['December 16, 2004']",12/16/04,"['The rights granted hereunder shall be effective as of the Effective Date and shall expire on December 31, 2006 (the ""Term""); provided, however, that with respect to each Property, all rights and licenses granted herein will continue in full force and effect for a period of eighteen (18) months after the initial theatrical release of that Property.']",12/31/06,[],,[],,['This Agreement shall be construed in accordance with the laws of the State of California applicable to agreements executed and to be wholly performed therein.'],California
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.pdf,"['Wireless Content License Agreement Number 12965', 'AMENDMENT NO. 1']","AMENDMENT NO. 1

Wireless Content License Agreement Number 12965","['Glu Mobile, Inc. f/k/a Sorrent, Inc.', 'Licensee', 'Fox Mobile Entertainment, Inc.', 'Fox']","Fox Mobile Entertainment (""Fox""); Glu Mobile, Inc. f/k/a Sorrent, Inc. (""Licensee"")","['November 11, 2005']",11/18/05,[],,[],,[],,[],,[],
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3.pdf,"['Wireless Content License Agreement Number 12965', 'AMENDMENT NO. 2']","AMENDMENT NO. 2

Wireless Content License Agreement Number 12965","['Glu Mobile, Inc. f/k/a Sorrent, Inc.', 'Licensee', 'Fox Mobile Entertainment, Inc.', 'Fox']","Fox Mobile Entertainment, Inc. (""Fox""); Glu Mobile, Inc. f/k/a Sorrent, Inc. (""Licensee"")","['March 27, 2006']",3/27/06,[],,[],,[],,[],,[],
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.pdf,"['AMENDMENT NO. 3', 'Wireless Content License Agreement Number 12965']","AMENDMENT NO. 3

Wireless Content License Agreement Number 12965","['Glu Mobile Inc.', 'Licensee', 'Fox Mobile Entertainment, Inc.', 'Fox']","Fox Mobile Entertainment, Inc. (""Fox""); Glu Mobile Inc. (""Licensee"")","['February 19, 2007']",2/19/07,[],,"['The rights granted hereunder shall be effective as of the Effective Date and shall expire on December 31, 2006 (the ""Term""); provided, however, that with respect to each Property, including Robots, Kingdom of Heaven, Mr. and Mrs. Smith, In Her Shoes, Idiocracy (Oww My Balls) and Ice Age II, all right and licenses granted herein will continue in full force and effect until March 31, 2008.""']",12/31/06,[],,[],,[],
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.pdf,['DOMAIN NAME AND CONTENT LICENSE AGREEMENT'],DOMAIN NAME AND CONTENT LICENSE AGREEMENT,"['Beijing SINA Internet Information Service Co., Ltd.', 'Beijing Yisheng Leju Information Services Co., Ltd.', 'Licensor', '""Licensee"" and together with Licensor, the ""Parties"" and each a ""Party"")']","Beijing SINA Internet Information Service Co., Ltd (""Licensor""); Beijing Yisheng Leju Information Services Co., Ltd (""Licensee"" and together with Licensor, the ""Parties"" and each a ""Party"")",[],,"['""Effective Date"" means the Closing Date as set forth in the Share Purchase Agreement.']",,"['The initial term of this Agreement (the ""Initial Term"") shall commence on the Effective Date and shall continue for a period of ten (10) years thereafter.']",,[],,[],,"[""This Agreement and any dispute or claim arising out of or in connection with it or its subject matter shall be governed by, and construed in accordance with, the laws of the People's Republic of China (without regard to its conflicts of laws rules that would mandate the application of the laws of another jurisdiction).""]",People's Republic of China
